number,learning_rate,subsample,max_depth,colsample_bytree,min_child_weight,value,std_err
343,0.4,0.7,5,0.9,3,0.8703619708077719,0.0014751275802239905
344,0.05,0.85,5,0.9,3,0.8867768121688097,0.0014604226626804492
345,0.1,0.85,5,0.9,3,0.8869732709255285,0.0013574351234462085
346,0.2,0.85,5,0.9,3,0.8819084336005014,0.001581806964050801
347,0.4,0.85,5,0.9,3,0.8733597771172438,0.0013338187379903308
348,0.05,1,5,0.9,3,0.8855239869613113,0.0017225322269780986
349,0.1,1,5,0.9,3,0.8849881471861883,0.0014227468569686455
350,0.2,1,5,0.9,3,0.8819170397998138,0.0014930161808508996
351,0.4,1,5,0.9,3,0.873272350002849,0.0022323239411150392
352,0.05,0.5,7,0.9,3,0.889970038555773,9.553911851291935e-4
353,0.1,0.5,7,0.9,3,0.8848687584281401,9.557433591778086e-4
354,0.2,0.5,7,0.9,3,0.8787889237621317,0.0013121260409860334
355,0.4,0.5,7,0.9,3,0.8648659925737403,0.0015018048433131806
356,0.05,0.7,7,0.9,3,0.8900590088507341,0.001268777529067813
357,0.1,0.7,7,0.9,3,0.8865823417408976,0.0011673628572309107
358,0.2,0.7,7,0.9,3,0.880672998850924,6.998710148799058e-4
359,0.4,0.7,7,0.9,3,0.8706228276765874,0.001746418760238779
360,0.05,0.85,7,0.9,3,0.8902850254506087,0.001364799338018157
361,0.1,0.85,7,0.9,3,0.8870070428386926,7.312025187805186e-4
362,0.2,0.85,7,0.9,3,0.8809052772027122,0.0014175933863699054
363,0.4,0.85,7,0.9,3,0.8740608262426165,0.0010205124618230617
364,0.05,1,7,0.9,3,0.8876865171126854,0.001241207095194787
365,0.1,1,7,0.9,3,0.8856539405709293,0.001589444765192892
366,0.2,1,7,0.9,3,0.8825064754230689,0.0013047629008733942
367,0.4,1,7,0.9,3,0.8771238912841162,6.606988840349941e-4
368,0.05,0.5,9,0.9,3,0.8912453585876812,9.040549580175785e-4
369,0.1,0.5,9,0.9,3,0.8867530115762283,7.25655329696182e-4
370,0.2,0.5,9,0.9,3,0.8793765194393269,0.0013836940435834433
371,0.4,0.5,9,0.9,3,0.8675916352490931,0.002686194352625723
372,0.05,0.7,9,0.9,3,0.890308647983894,0.0012667003571361084
373,0.1,0.7,9,0.9,3,0.8872886732920552,8.880669357330479e-4
374,0.2,0.7,9,0.9,3,0.8822742267478301,0.0014430973077351236
375,0.4,0.7,9,0.9,3,0.8759573061290384,0.001280963224152281
376,0.05,0.85,9,0.9,3,0.891454429877875,0.001078041037892674
377,0.1,0.85,9,0.9,3,0.8872637746671478,0.0012300387450016451
378,0.2,0.85,9,0.9,3,0.8833274474843783,0.0011461759444248384
379,0.4,0.85,9,0.9,3,0.876328144289757,6.550418789399068e-4
380,0.05,1,9,0.9,3,0.8875826788664983,0.001028629704724048
